2022-02-01			
name	facturer	price	currency
Товар 5106	Производитель 8	3261.91	Е
Товар 5107	Производитель 11	986.16	Е
Товар 5108	Производитель 12	821.04	$
Товар 5109	Производитель 12	9057.07	$
Товар 5110	Производитель 6	2397.73	Е
Товар 5111	Производитель 11	7277.11	Е
Товар 5112	Производитель 7	7430.45	Р
Товар 5113	Производитель 8	7954.35	Е
Товар 5114	Производитель 7	5725.62	$
Товар 5115	Производитель 1	3282.09	$
Товар 5116	Производитель 12	7975.22	Е
Товар 5117	Производитель 8	9401.04	Е
Товар 5118	Производитель 11	6752.15	Е
Товар 5119	Производитель 4	6343.85	Р
Товар 5120	Производитель 1	5200.4	$
Товар 5121	Производитель 3	4748.31	Е
Товар 5122	Производитель 1	9453.86	Е
Товар 5123	Производитель 10	8104.35	$
Товар 5124	Производитель 11	3094	Е
Товар 5125	Производитель 12	8702.22	$
Товар 5126	Производитель 9	2639.69	Р
Товар 5127	Производитель 10	6214.9	Е
Товар 5128	Производитель 10	5920.84	Е
Товар 5129	Производитель 9	5864.62	Е
Товар 5130	Производитель 10	9307.38	Р
Товар 5131	Производитель 3	6245.7	$
Товар 5132	Производитель 12	8356.69	Р
Товар 5133	Производитель 7	9901.3	$
Товар 5134	Производитель 12	6473.13	$
Товар 5135	Производитель 10	515.13	Е
Товар 5136	Производитель 10	6435.83	Е
Товар 5137	Производитель 2	958.12	Р
Товар 5138	Производитель 7	2881.81	Е
Товар 5139	Производитель 12	4675.55	$
Товар 5140	Производитель 1	6235.33	Р
Товар 5141	Производитель 6	2586.87	Е
Товар 5142	Производитель 4	8595.35	$
Товар 5143	Производитель 1	7782.9	Е
Товар 5144	Производитель 1	557.32	Р
Товар 5145	Производитель 1	4447.07	Р
Товар 5146	Производитель 4	718.15	$
Товар 5147	Производитель 3	7380.84	Е
Товар 5148	Производитель 8	1077.42	Е
Товар 5149	Производитель 5	6910.53	Р
Товар 5150	Производитель 6	3752.5	$
Товар 5151	Производитель 5	3615.21	Е
Товар 5152	Производитель 5	7899.15	Е
Товар 5153	Производитель 10	4321.3	Е
Товар 5154	Производитель 9	2426.63	Р
Товар 5155	Производитель 5	7455.4	$
Товар 5156	Производитель 1	912.97	$
Товар 5157	Производитель 11	1741.55	Р
Товар 5158	Производитель 5	4673.68	Р
Товар 5159	Производитель 3	6873.01	Е
Товар 5160	Производитель 12	3651.32	Е
Товар 5161	Производитель 9	6534.36	Р
Товар 5162	Производитель 10	4163.52	Е
Товар 5163	Производитель 8	6653.73	$
Товар 5164	Производитель 9	9883.01	Е
Товар 5165	Производитель 11	990.55	Е
Товар 5166	Производитель 12	2402.86	Р
Товар 5167	Производитель 11	5484.09	Р
Товар 5168	Производитель 6	3850.07	$
Товар 5169	Производитель 1	9935.08	Е
Товар 5170	Производитель 11	854.5	Е
Товар 5171	Производитель 9	112.78	Р
Товар 5172	Производитель 2	5950.98	$
Товар 5173	Производитель 12	3033.06	$
Товар 5174	Производитель 10	1968.6	Е
Товар 5175	Производитель 12	5595.28	Е
Товар 5176	Производитель 4	4469.98	$
Товар 5177	Производитель 7	6526.15	$
Товар 5178	Производитель 12	1402.45	Е
Товар 5179	Производитель 5	5989.67	Е
Товар 5180	Производитель 7	1307.24	Р
Товар 5181	Производитель 8	2858.35	$
Товар 5182	Производитель 4	3372.49	Е
Товар 5183	Производитель 6	2624.11	Е
Товар 5184	Производитель 9	8871.7	Р
Товар 5185	Производитель 9	8885.02	Р
Товар 5186	Производитель 5	1265.7	$
Товар 5187	Производитель 7	1360.22	Е
Товар 5188	Производитель 4	4643.55	$
Товар 5189	Производитель 6	4758.35	Р
Товар 5190	Производитель 12	5292.03	Е
Товар 5191	Производитель 5	4887.16	Р
Товар 5192	Производитель 2	8087.92	$
Товар 5193	Производитель 6	5080.11	Р
Товар 5194	Производитель 6	8034.88	$
Товар 5195	Производитель 6	5627.24	$
Товар 5196	Производитель 7	3237.18	Р
Товар 5197	Производитель 2	7039.39	Р
Товар 5198	Производитель 2	5747.37	$
Товар 5199	Производитель 6	9725.75	$
Товар 5200	Производитель 7	2880.84	Е
Товар 5201	Производитель 1	7872.01	Е
Товар 5202	Производитель 12	1978.37	Р
Товар 5203	Производитель 12	5725.5	Е
Товар 5204	Производитель 11	4623.93	Е
Товар 5205	Производитель 7	5325.61	Е
Товар 5206	Производитель 12	1203.13	Е
Товар 5207	Производитель 1	2458.55	Р
Товар 5208	Производитель 7	4199.93	$
Товар 5209	Производитель 7	9613.11	Р
Товар 5210	Производитель 3	5651.12	Р
Товар 5211	Производитель 9	2535.67	Р
Товар 5212	Производитель 2	273.39	Е
Товар 5213	Производитель 12	3407.77	Е
Товар 5214	Производитель 3	5240.28	Е
Товар 5215	Производитель 4	7212.91	$
Товар 5216	Производитель 11	5544.78	Р
Товар 5217	Производитель 1	8833.75	Р
Товар 5218	Производитель 6	6990.8	Р
Товар 5219	Производитель 4	753	$
Товар 5220	Производитель 10	1488.1	$
Товар 5221	Производитель 5	8716.96	Р
Товар 5222	Производитель 3	7177.99	Е
Товар 5223	Производитель 2	8881.3	Р
Товар 5224	Производитель 3	6698	$
Товар 5225	Производитель 2	6044.87	Е
Товар 5226	Производитель 11	2743.79	Е
Товар 5227	Производитель 7	6292	$
Товар 5228	Производитель 12	9277.26	Е
Товар 5229	Производитель 7	2296.97	$
Товар 5230	Производитель 7	3271.91	Р
Товар 5231	Производитель 3	9734.71	Р
Товар 5232	Производитель 2	434.85	Е
Товар 5233	Производитель 12	1950.73	Р
Товар 5234	Производитель 5	4317.53	Е
Товар 5235	Производитель 6	2732.6	Р
Товар 5236	Производитель 9	2034.6	Е
Товар 5237	Производитель 12	8987.79	Е
Товар 5238	Производитель 11	4089.11	Р
Товар 5239	Производитель 4	4458.78	$
Товар 5240	Производитель 10	6296.56	Е
Товар 5241	Производитель 2	3337.49	Р
Товар 5242	Производитель 1	6992.28	Р
Товар 5243	Производитель 5	9270	$
Товар 5244	Производитель 12	2808.25	$
Товар 5245	Производитель 5	4370.47	Р
Товар 5246	Производитель 5	3814.7	Е
Товар 5247	Производитель 1	7173	$
Товар 5248	Производитель 2	843.59	Р
Товар 5249	Производитель 7	3816.2	Р
Товар 5250	Производитель 10	2519	Е
Товар 5251	Производитель 2	8482.82	Е
Товар 5252	Производитель 4	612.48	$
Товар 5253	Производитель 4	9962.05	Р
Товар 5254	Производитель 6	427.12	Е
Товар 5255	Производитель 12	5194	$
Товар 5256	Производитель 6	3988.01	Е
Товар 5257	Производитель 3	8802.44	Е
Товар 5258	Производитель 8	6519.08	Р
Товар 5259	Производитель 9	3860.59	Е
Товар 5260	Производитель 5	2831.7	Р
Товар 5261	Производитель 3	2300.56	$
Товар 5262	Производитель 7	7589.1	Р
Товар 5263	Производитель 8	5012.52	Е
Товар 5264	Производитель 12	6096.3	Р
Товар 5265	Производитель 5	2366.2	Р
Товар 5266	Производитель 4	4695.88	$
Товар 5267	Производитель 11	1782.8	Р
Товар 5268	Производитель 3	5835.58	Р
Товар 5269	Производитель 10	8710.69	Р
Товар 5270	Производитель 11	9294.55	Р
Товар 5271	Производитель 11	8375.12	$
Товар 5272	Производитель 10	9057.16	Р
Товар 5273	Производитель 4	8444.22	$
Товар 5274	Производитель 3	994.27	Е
Товар 5275	Производитель 9	1547.38	$
Товар 5276	Производитель 9	6944.88	Р
Товар 5277	Производитель 6	3811.04	$
Товар 5278	Производитель 6	7371.2	Р
Товар 5279	Производитель 4	6797.75	$
Товар 5280	Производитель 2	4797.71	Е
Товар 5281	Производитель 2	277.55	Е
Товар 5282	Производитель 4	2665.55	$
Товар 5283	Производитель 1	5750.28	Е
Товар 5284	Производитель 10	8052.31	Е
Товар 5285	Производитель 12	8927.56	$
Товар 5286	Производитель 11	6792.64	Е
Товар 5287	Производитель 5	2366.81	Р
Товар 5288	Производитель 7	5943.56	Р
Товар 5289	Производитель 10	1581.16	Р
Товар 5290	Производитель 2	6016.5	Е
Товар 5291	Производитель 7	8628.67	$
Товар 5292	Производитель 4	7848.13	Р
Товар 5293	Производитель 9	4876.23	Р
Товар 5294	Производитель 2	8198.61	$
Товар 5295	Производитель 8	4230.56	Р
Товар 5296	Производитель 6	7082.33	Р
Товар 5297	Производитель 3	2361.26	$
Товар 5298	Производитель 2	7677.55	$
Товар 5299	Производитель 7	450.38	$
Товар 5300	Производитель 9	8736.36	Р
Товар 5301	Производитель 6	6748.25	Е
Товар 5302	Производитель 11	3978.8	$
Товар 5303	Производитель 10	6101.08	Е
Товар 5304	Производитель 1	659.22	Р
Товар 5305	Производитель 3	8008.29	$
Товар 5306	Производитель 6	2864.18	Е
Товар 5307	Производитель 1	2910.75	Р
Товар 5308	Производитель 9	5527.1	$
Товар 5309	Производитель 9	3577.78	Е
Товар 5310	Производитель 10	6990.47	Р
Товар 5311	Производитель 4	2637.94	$
Товар 5312	Производитель 4	2292.79	Р
Товар 5313	Производитель 8	2198.35	Р
Товар 5314	Производитель 11	3962.53	$
Товар 5315	Производитель 10	7646.99	$
Товар 5316	Производитель 12	4771.3	$
Товар 5317	Производитель 12	5235.44	$
Товар 5318	Производитель 7	10.22	Р
Товар 5319	Производитель 5	9460.32	Е
Товар 5320	Производитель 7	6549.96	Е
Товар 5321	Производитель 5	8567.89	Р
Товар 5322	Производитель 4	8582.53	$
Товар 5323	Производитель 10	5269.14	Р
Товар 5324	Производитель 10	9803.05	$
Товар 5325	Производитель 3	1977.57	Р
Товар 5326	Производитель 1	3523.39	$
Товар 5327	Производитель 9	8476.35	Р
Товар 5328	Производитель 2	2976.73	Р
Товар 5329	Производитель 6	9277	$
Товар 5330	Производитель 1	1788.56	Е
Товар 5331	Производитель 2	2606	Р
Товар 5332	Производитель 6	188.7	Е
Товар 5333	Производитель 12	4734.28	$
Товар 5334	Производитель 9	3647.64	$
Товар 5335	Производитель 1	3985.36	Е
Товар 5336	Производитель 11	342.76	$
Товар 5337	Производитель 4	9815.74	Р
Товар 5338	Производитель 5	6004.92	Е
Товар 5339	Производитель 11	5368.4	Р
Товар 5340	Производитель 10	7339.56	Р
Товар 5341	Производитель 3	2217.87	$
Товар 5342	Производитель 8	9261.34	$
Товар 5343	Производитель 5	1024.67	Р
Товар 5344	Производитель 3	1917.19	Р
Товар 5345	Производитель 11	5708.98	Р
Товар 5346	Производитель 3	4954.43	Е
Товар 5347	Производитель 10	2212.25	Е
Товар 5348	Производитель 7	3210.32	Е
Товар 5349	Производитель 6	7095.17	Р
Товар 5350	Производитель 6	934.56	Е
Товар 5351	Производитель 8	3195.6	$
Товар 5352	Производитель 3	414.86	$
Товар 5353	Производитель 2	6907.58	Р
Товар 5354	Производитель 4	1405.44	Е
Товар 5355	Производитель 1	5930.58	Е
Товар 5356	Производитель 3	6499.74	$
Товар 5357	Производитель 3	9853.48	$
Товар 5358	Производитель 2	2785.45	Р
Товар 5359	Производитель 8	6792.34	$
Товар 5360	Производитель 2	8180.08	$
Товар 5361	Производитель 10	1013.11	Р
Товар 5362	Производитель 1	186.65	Е
Товар 5363	Производитель 9	7578.32	$
Товар 5364	Производитель 10	1225.97	Р
Товар 5365	Производитель 10	3463.01	Р
Товар 5366	Производитель 6	3939.57	$
Товар 5367	Производитель 10	1664.07	$
Товар 5368	Производитель 10	6756.93	Е
Товар 5369	Производитель 9	5624.63	Е
Товар 5370	Производитель 3	7533.35	Р
Товар 5371	Производитель 4	802.72	$
Товар 5372	Производитель 7	816.89	Е
Товар 5373	Производитель 7	3677.83	Р
Товар 5374	Производитель 3	2170.29	$
Товар 5375	Производитель 10	4321.96	Е
Товар 5376	Производитель 11	7159.07	Р
Товар 5377	Производитель 2	6033.01	$
Товар 5378	Производитель 11	9345.95	Е
Товар 5379	Производитель 11	4785.09	Е
Товар 5380	Производитель 9	466.45	Р
Товар 5381	Производитель 6	8118.21	Е
Товар 5382	Производитель 5	6863.12	Р
Товар 5383	Производитель 2	9857.93	$
Товар 5384	Производитель 7	3330.29	Е
Товар 5385	Производитель 10	258.75	Е
Товар 5386	Производитель 11	782.31	Е
Товар 5387	Производитель 5	5598.8	Е
Товар 5388	Производитель 3	6781.85	Е
Товар 5389	Производитель 11	1380.15	Е
Товар 5390	Производитель 7	7301.99	Р
Товар 5391	Производитель 12	6895.39	$
Товар 5392	Производитель 11	4477.28	Е
Товар 5393	Производитель 4	2006.94	Р
Товар 5394	Производитель 4	9668.52	Е
Товар 5395	Производитель 9	9294.03	$
Товар 5396	Производитель 4	2472.22	$
Товар 5397	Производитель 12	6839.16	$
Товар 5398	Производитель 12	382.91	Р
Товар 5399	Производитель 4	5975.11	Р
Товар 5400	Производитель 10	7670.15	$
Товар 5401	Производитель 6	2284.16	Е
Товар 5402	Производитель 3	5638.93	Р
Товар 5403	Производитель 10	9441.65	$
Товар 5404	Производитель 4	3080.97	$
Товар 5405	Производитель 12	1553.18	Е
Товар 5406	Производитель 9	1068.16	$
Товар 5407	Производитель 6	3516.6	Р
Товар 5408	Производитель 6	2487.48	Е
Товар 5409	Производитель 1	4050.37	Е
Товар 5410	Производитель 1	6867.82	Р
Товар 5411	Производитель 5	65.78	Е
Товар 5412	Производитель 7	9830.84	Р
Товар 5413	Производитель 6	4691.11	Е
Товар 5414	Производитель 5	9856.29	Е
Товар 5415	Производитель 2	1843.47	$
Товар 5416	Производитель 2	1357.74	Р
Товар 5417	Производитель 9	8845.15	Р
Товар 5418	Производитель 10	952.91	Р
Товар 5419	Производитель 3	7413.65	Р
Товар 5420	Производитель 3	7363.68	Р
Товар 5421	Производитель 3	8926.19	Е
Товар 5422	Производитель 3	5275.82	Р
Товар 5423	Производитель 2	1058.78	Р
Товар 5424	Производитель 10	2254.86	Е
Товар 5425	Производитель 4	1801.64	Е
Товар 5426	Производитель 3	3249.91	Е
Товар 5427	Производитель 7	1348.5	Е
Товар 5428	Производитель 5	132.18	Е
Товар 5429	Производитель 8	4165.01	Р
Товар 5430	Производитель 6	9632.27	$
Товар 5431	Производитель 12	8126.64	Р
Товар 5432	Производитель 1	59.45	Е
Товар 5433	Производитель 3	5337.15	Р
Товар 5434	Производитель 7	5367.08	Р
Товар 5435	Производитель 12	5263.44	Е
Товар 5436	Производитель 12	6163.93	Р
Товар 5437	Производитель 5	1001.45	$
Товар 5438	Производитель 9	3689.58	Е
Товар 5439	Производитель 5	8127.73	Е
Товар 5440	Производитель 2	599.86	Е
Товар 5441	Производитель 11	8539.75	Е
Товар 5442	Производитель 12	6983.92	$
Товар 5443	Производитель 12	8140.37	Р
Товар 5444	Производитель 1	2663.43	Р
Товар 5445	Производитель 5	3284.76	$
Товар 5446	Производитель 1	868.21	Р
Товар 5447	Производитель 12	768.43	$
Товар 5448	Производитель 4	8033.04	Р
Товар 5449	Производитель 10	1895.52	$
Товар 5450	Производитель 6	4749.25	Е
Товар 5451	Производитель 7	8761.06	$
Товар 5452	Производитель 8	2654.72	$
Товар 5453	Производитель 2	5829.35	$
Товар 5454	Производитель 7	4670.44	$
Товар 5455	Производитель 9	6242.9	Р
Товар 5456	Производитель 4	3330.45	Е
Товар 5457	Производитель 1	7877.75	Е
Товар 5458	Производитель 9	297.43	Р
Товар 5459	Производитель 4	1094.99	Е
Товар 5460	Производитель 6	9568.8	$
Товар 5461	Производитель 5	5939.34	Е
Товар 5462	Производитель 3	6789.67	Е
Товар 5463	Производитель 9	2811.21	Р
Товар 5464	Производитель 8	1575.7	Е
Товар 5465	Производитель 5	153.64	Е
Товар 5466	Производитель 7	9747.18	Р
Товар 5467	Производитель 4	5625.98	Р
Товар 5468	Производитель 7	6904.23	Е
Товар 5469	Производитель 8	437.07	Р
Товар 5470	Производитель 2	8551.72	Е
Товар 5471	Производитель 12	2336.52	Р
Товар 5472	Производитель 3	6025.24	Р
Товар 5473	Производитель 10	8932.85	Р
Товар 5474	Производитель 2	1946.45	$
Товар 5475	Производитель 3	4528.89	$
Товар 5476	Производитель 7	9756.93	Р
Товар 5477	Производитель 4	8274.23	Р
Товар 5478	Производитель 6	8501.34	Е
Товар 5479	Производитель 5	6702.95	Р
Товар 5480	Производитель 8	6699.48	$
Товар 5481	Производитель 8	4978.77	$
Товар 5482	Производитель 9	7415.96	$
Товар 5483	Производитель 4	8849.56	$
Товар 5484	Производитель 4	7734	Е
Товар 5485	Производитель 5	9781.69	Е
Товар 5486	Производитель 2	3717.56	$
Товар 5487	Производитель 9	3299.26	$
Товар 5488	Производитель 1	3566.76	Е
Товар 5489	Производитель 5	6260.88	Р
Товар 5490	Производитель 10	4568.11	Е
Товар 5491	Производитель 7	6404.97	$
Товар 5492	Производитель 5	9058.76	$
Товар 5493	Производитель 4	1766.38	Р
Товар 5494	Производитель 10	6724.01	Р
Товар 5495	Производитель 3	228.24	$
Товар 5496	Производитель 12	6710.83	$
Товар 5497	Производитель 1	704.34	Р
Товар 5498	Производитель 8	5154.47	Е
Товар 5499	Производитель 4	3340.66	Е
Товар 5500	Производитель 5	8082.02	Е
Товар 5501	Производитель 4	6363.48	Р
Товар 5502	Производитель 8	864.14	$
Товар 5503	Производитель 12	7317.3	Е
Товар 5504	Производитель 2	2051.91	$
Товар 5505	Производитель 1	6585.75	Р
Товар 5506	Производитель 9	1458.17	$
Товар 5507	Производитель 7	8838.46	Е
Товар 5508	Производитель 6	7706.12	$
Товар 5509	Производитель 4	7850.92	Р
Товар 5510	Производитель 4	8.82	Р
Товар 5511	Производитель 11	8731.02	Е
Товар 5512	Производитель 12	8243.38	Р
Товар 5513	Производитель 2	3732.6	$
Товар 5514	Производитель 12	6036.52	Р
Товар 5515	Производитель 9	2141.31	Е
Товар 5516	Производитель 2	8318.92	Е
Товар 5517	Производитель 3	7697.84	Р
Товар 5518	Производитель 12	1216.64	Е
Товар 5519	Производитель 12	9489.86	Е
Товар 5520	Производитель 12	6339.15	Р
Товар 5521	Производитель 2	906.17	Р
Товар 5522	Производитель 11	1336.13	Р
Товар 5523	Производитель 5	2423.85	Р
Товар 5524	Производитель 4	7832.15	Р
Товар 5525	Производитель 1	1127.82	$
Товар 5526	Производитель 5	8757.6	Р
Товар 5527	Производитель 7	156.68	$
Товар 5528	Производитель 3	6079.24	$
Товар 5529	Производитель 7	2108.86	$
Товар 5530	Производитель 10	4569.51	Е
Товар 5531	Производитель 5	8621.58	Р
Товар 5532	Производитель 11	6349.89	$
Товар 5533	Производитель 5	5208.86	$
Товар 5534	Производитель 10	5261.29	Р
Товар 5535	Производитель 10	264.26	Е
Товар 5536	Производитель 1	9086.32	Р
Товар 5537	Производитель 10	9770.7	$
Товар 5538	Производитель 11	6325.55	$
Товар 5539	Производитель 12	2234.96	Р
Товар 5540	Производитель 1	8006.98	Е
Товар 5541	Производитель 12	214.13	$
Товар 5542	Производитель 8	941.82	$
Товар 5543	Производитель 10	9564.16	$
Товар 5544	Производитель 9	9703.34	Е
Товар 5545	Производитель 10	8035.03	$
Товар 5546	Производитель 7	812.06	Е
Товар 5547	Производитель 3	8019.05	$
Товар 5548	Производитель 2	9598.58	$
Товар 5549	Производитель 9	1372.22	$
Товар 5550	Производитель 11	616.1	$
Товар 5551	Производитель 1	2238.26	Р
Товар 5552	Производитель 6	2425.8	Е
Товар 5553	Производитель 5	3631.37	Е
Товар 5554	Производитель 7	5012.79	Е
Товар 5555	Производитель 12	2976.49	$
Товар 5556	Производитель 7	2773.88	Е
Товар 5557	Производитель 11	1545.16	Р
Товар 5558	Производитель 4	8718.27	$
Товар 5559	Производитель 4	5742.47	Р
Товар 5560	Производитель 9	4004.29	Е
Товар 5561	Производитель 10	5296.24	Р
Товар 5562	Производитель 11	5583.14	Р
Товар 5563	Производитель 12	3653.06	Е
Товар 5564	Производитель 10	1500.16	Р
Товар 5565	Производитель 1	1379.93	Е
Товар 5566	Производитель 1	9890.4	Е
Товар 5567	Производитель 8	3974.19	Р
Товар 5568	Производитель 4	894.21	$
Товар 5569	Производитель 11	4233.76	$
Товар 5570	Производитель 5	4556.98	Р
Товар 5571	Производитель 10	246.69	$
Товар 5572	Производитель 2	6696.79	Е
Товар 5573	Производитель 12	9082.52	$
Товар 5574	Производитель 4	5787.95	Р
Товар 5575	Производитель 8	7808.4	Р
Товар 5576	Производитель 3	8396.88	$
Товар 5577	Производитель 11	923.85	Е
Товар 5578	Производитель 5	7191.94	$
Товар 5579	Производитель 1	411.08	Е
Товар 5580	Производитель 10	8703.74	Р
Товар 5581	Производитель 9	5199.87	$
Товар 5582	Производитель 3	988.39	Е
Товар 5583	Производитель 8	8674.72	$
Товар 5584	Производитель 5	7290.76	$
Товар 5585	Производитель 4	9043.34	Е
Товар 5586	Производитель 9	6616.61	Р
Товар 5587	Производитель 5	5158.49	$
Товар 5588	Производитель 3	4030.49	$
Товар 5589	Производитель 9	3160.38	$
Товар 5590	Производитель 8	4007.14	Р
Товар 5591	Производитель 1	5240.73	$
Товар 5592	Производитель 9	1065.92	$
Товар 5593	Производитель 12	3773.84	Р
Товар 5594	Производитель 2	3127.68	Р
Товар 5595	Производитель 7	8320.35	$
Товар 5596	Производитель 2	1180.69	Р
Товар 5597	Производитель 6	9805.51	$
Товар 5598	Производитель 2	2562.57	Е
Товар 5599	Производитель 3	256.66	$
Товар 5600	Производитель 7	1343.8	Р
Товар 5601	Производитель 11	573.86	Е
Товар 5602	Производитель 8	9626.2	Е
Товар 5603	Производитель 5	4601.44	Р
Товар 5604	Производитель 1	8207.97	Р
Товар 5605	Производитель 11	2398.88	$
Товар 5606	Производитель 12	295.37	$
Товар 5607	Производитель 10	8859.68	Р
Товар 5608	Производитель 6	799.21	Р
Товар 5609	Производитель 5	4725.35	Р
Товар 5610	Производитель 11	6449.66	$
Товар 5611	Производитель 11	8388.58	$
Товар 5612	Производитель 10	6945.39	Р
Товар 5613	Производитель 12	9139.25	$
Товар 5614	Производитель 3	3614.27	Р
Товар 5615	Производитель 7	2381.66	$
Товар 5616	Производитель 6	2947.36	Р
Товар 5617	Производитель 12	1483.92	Е
Товар 5618	Производитель 5	9135.11	$
Товар 5619	Производитель 9	742.69	Р
Товар 5620	Производитель 1	2767.29	$
Товар 5621	Производитель 1	1330.4	$
Товар 5622	Производитель 2	1714.94	$
Товар 5623	Производитель 9	1274.45	$
Товар 5624	Производитель 6	5652.72	$
Товар 5625	Производитель 8	7807.21	Е
Товар 5626	Производитель 8	1953.64	Р
Товар 5627	Производитель 10	5496.13	$
Товар 5628	Производитель 11	6942.44	Е
Товар 5629	Производитель 9	6999.48	$
Товар 5630	Производитель 8	2512.37	Р
Товар 5631	Производитель 8	2003.9	Р
Товар 5632	Производитель 5	2478.26	Р
Товар 5633	Производитель 12	4155.09	Р
Товар 5634	Производитель 8	5494.31	Е
Товар 5635	Производитель 11	7357.48	Р
Товар 5636	Производитель 10	252.39	Е
Товар 5637	Производитель 6	1538.84	$
Товар 5638	Производитель 7	6292.6	$
Товар 5639	Производитель 4	1859.63	Р
Товар 5640	Производитель 8	8870.44	$
Товар 5641	Производитель 7	9425.02	Е
Товар 5642	Производитель 1	4499.58	Р
Товар 5643	Производитель 9	5490.63	$
Товар 5644	Производитель 4	7761.48	Е
Товар 5645	Производитель 6	2671.44	Р
Товар 5646	Производитель 7	4155.03	$
Товар 5647	Производитель 4	273.23	Р
Товар 5648	Производитель 11	9673.08	Р
